id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Autumn Requiem,Clara Voss,classical,melancholic,0.24,54,0.29,0.22,0.96
12,Street Legend,Cyphon,hip-hop,confident,0.78,96,0.73,0.86,0.11
13,Velvet Sunrise,Amara Soul,r&b,romantic,0.54,84,0.79,0.71,0.42
14,Iron Tempest,Grave Circuit,metal,angry,0.97,176,0.21,0.48,0.03
15,Harvest Moon Walk,The Drifting Pines,folk,nostalgic,0.37,101,0.66,0.57,0.91
16,Salsa del Sol,Fuego Colectivo,latin,euphoric,0.88,148,0.93,0.94,0.19
17,Broken Wings,Ella Vane,soul,sad,0.44,67,0.34,0.47,0.63
18,Neon Pulse,Voltage Drop,edm,euphoric,0.96,140,0.87,0.92,0.04
